# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T10:55:10.489690743+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
12666293,38979,736.4,515.8,0.497,7103,0,0,16000
12699913,38980,734.0,514.5,0.533,7121,0,0,16000
12733078,38981,732.0,513.5,0.552,6996,0,0,16000
12766234,38982,730.1,512.1,0.565,6974,0,0,16000
12799742,38983,728.4,510.7,0.611,7195,0,0,16000
12832923,38984,726.6,509.5,0.623,7088,0,0,16000
12866356,38985,725.0,508.4,0.623,7241,0,0,16000
12899932,38986,723.2,507.1,0.602,7154,0,0,16000
12932962,38987,721.4,505.8,0.612,7001,0,0,16000
12966640,38988,719.9,504.7,0.619,7083,0,0,16000
12999890,38989,718.6,503.8,0.629,7203,0,0,16000
13033018,38990,717.0,502.9,0.611,7064,0,0,16000
13066483,38991,715.6,502.3,0.581,7164,0,0,16000
13099892,38992,713.7,501.2,0.575,7125,0,0,16000
13132993,38993,712.1,500.1,0.572,6956,0,0,16000
13166530,38994,710.7,499.1,0.563,6856,0,0,16000
13199800,38995,709.9,498.8,0.536,6888,0,0,16000
13232984,38996,708.6,498.0,0.562,6958,0,0,16000
13266363,38997,707.5,497.6,0.566,7008,0,0,16000
13300159,38998,706.4,497.5,0.526,6990,0,0,16000
